nom,latitude,longitude,categorie,statut,description,avis,note
Dumplings And Noodles Népalaise Restaurant,48.879040597185046, 2.3855951969069182,Resto,A faire,"Cuisine nepalaise, vraiment pas cher et laire tres bon",,4.7
Pâtisserie Ginko,48.8786199869324, 2.385465695765996,Boulangerie,A faire,"Un peut cher mais ca vas encore (autour de 6 euros la tartelette) mais a l'aire vraiment quali",,4.8
Mian Guan,48.872932018750824, 2.3801882122510714,Resto,A faire,"Soupes chinoises, pas trop cher, fait maison","File aux heures de pointe",4.5
Ostara Belleville,48.87179421858953, 2.3807020508728285,Resto,A faire,"Pseudo gastro","Vraiment peut cher pour le banger que ca a l'aire d'etre (E + P + D = environ 30 euros le midi)",4.75
PALOMA,48.87248616079978, 2.3823794852678644,Resto,A faire,"Cuisine lechee et créative","Menu midi a 13 euros",4.55
WENZHOU La Cantine Chinoise 温州美食林,48.87264104667268, 2.3788934545787894,Resto,A faire,"Chinois pas cher et ouvert tout le temps","Grosses portions",4.5
Original Poulet Braisé,48.88785915401131, 2.3734195662184,Resto,A faire,"Poulet braisé, menu a 6 euros","A l'emporter seulement",3.75
Le bistro des oies,48.87200389426808, 2.3674558238896815,Resto,A faire,"Bisto typique, pas trop cher, bon vins",,4.23
Velours,48.87253669291561, 2.3665928545787676,Resto,A faire,"Sandwich et boissons et desserts tout fait maison","A l'aire vraiment tres tres bien",4.75
Cheap frip vintage - Marais,48.85953228452506, 2.353872496905732,Friperie,A faire,,,4
RETRO,48.86455756308697, 2.3507578482012184,Friperie,A faire,,,4
Cheap Frip Vintage,48.86498702773964, 2.3503822122505644,Friperie,A faire,,,4
ALATONE - Turbigo,48.86408285987904, 2.349352221595071,Friperie,A faire,,,4
Tekés,48.86611213991139, 2.3496065103977015,Resto,A faire,"Cuisine vegetarienne israelienne","",3.75
Brasserie Dubillot,48.868149645026584, 2.3519423815616958,Resto,A faire,"Brasserie typique, prix normaux",,3.8
Mama No Bento,48.869975999416354, 2.3478984527257007,Resto,A faire,"Petit restorant qui sert des bentos fait maison, a laire tres bon, prix entre 15 et 16 euros",,4.75
Brasserie Rosie Lou,48.87043256944251, 2.3488158103980017,Resto,A faire,"Brasserie typique, prix normaux",,3.75
TranTranZai,48.870715441195365, 2.3528969146794934,Resto,A faire,"Chinois, pas hyper cher","Plusieus enseignes a Paris, donc un peut generique?",3.7
Jah Jah By Le Tricycle,48.873312393003744, 2.352934807932788,Resto,A faire,"Caribeen, vegan, surement sur cote","Pat a 13 euros et desserts a 7 euros",3.5
YALLÄ Paris 18 - Dépôt-vente / Second-hand store / Curated Vintage,48.89053920766656, 2.347098615300586,Friperie,Fait,,"Un peut cher, pas mal de trucs de filles, un peut cher",3.75
YALLÄ Paris 10 - Dépôt-vente / Second-hand store / Curated Vintage,48.87229047785266, 2.357268480044008,Friperie,A faire,,,4
Super vintage,48.873302917599915, 2.3529162797090897,Friperie,A faire,,,4
Rolling Fripe,48.87509988124621, 2.3554858527259976,Friperie,A faire,"-20% pour les etudiants toute l'annee",,4.4
Boulangerie Pâtisserie Miche de Pain,48.87660013879005, 2.3444292680706766,Boulangerie,A faire,"A l'aire tout a fait convenable",,4.3
Pâtisserie La matière,48.87506599930963, 2.3413013103982756,Boulangerie,A faire,"Vraiment cher (entre 6 et 8 euros les tartelettes), vaut peut-etre la peine?",,3.75
Mamiche,48.88022988474209, 2.343531168070843,Boulangerie,A faire,"A l'aire vraiment incroyable, prix tres correctes","Tres cote donc beaucoup de monde et de file",4.75
Le Comptoir de Madeleine,48.880787016798486, 2.338605410398631,Boulangerie,Fait,"Tres petit magasin qui vend des madeleines (vanille, du moment, citron, caramel beurre sale, nocioletta) bonnes mais rien d'exceptionel non plus, 2.5 euros la piece",,4.3
